time [sec], accel [m/s^2]
3.029206699999999728e+02,-2.366629838943481445e-01
3.029256619999999884e+02,-1.992455124855041504e+00
3.029306569999999965e+02,4.665882289409637451e-01
3.029356510000000071e+02,1.674140930175781250e+00
3.029406449999999609e+02,-1.042050600051879883e+00
3.029456569999999829e+02,-2.177472591400146484e+00
3.029506349999999770e+02,1.551901698112487793e+00
3.029556389999999624e+02,8.852779865264892578e-01
3.029606229999999982e+02,-2.341232776641845703e+00
3.029656180000000063e+02,-5.443489551544189453e-01
3.029706119999999601e+02,2.950018644332885742e+00
3.029756059999999707e+02,-9.966261386871337891e-01
3.029806009999999787e+02,-3.766143083572387695e+00
3.029855949999999893e+02,1.706975936889648438e+00
3.029905899999999974e+02,2.587396860122680664e+00
3.029955840000000080e+02,-2.363510131835937500e+00
3.030005789999999593e+02,-6.851714253425598145e-01
3.030055729999999699e+02,1.134944915771484375e+00
3.030105669999999805e+02,-4.708776473999023438e-01
3.030155619999999885e+02,4.525772631168365479e-01
3.030205559999999991e+02,5.738683938980102539e-01
3.030255530000000022e+02,-3.266071975231170654e-01
3.030305449999999610e+02,2.092660069465637207e-01
3.030355509999999981e+02,-2.425254881381988525e-01
3.030405339999999796e+02,-6.968145966529846191e-01
3.030455279999999902e+02,3.255466520786285400e-01
3.030505220000000008e+02,1.539874196052551270e+00
3.030555170000000089e+02,-8.369916677474975586e-01
3.030605109999999627e+02,-1.725525021553039551e+00
3.030655049999999733e+02,1.161247014999389648e+00
3.030704999999999814e+02,8.290963172912597656e-01
3.030754939999999920e+02,-2.773924350738525391e+00
3.030804890000000000e+02,8.318862318992614746e-01
3.030854840000000081e+02,2.249380826950073242e+00
3.030904769999999644e+02,-2.435622453689575195e+00
3.030954719999999725e+02,-1.621068000793457031e+00
3.031004659999999831e+02,2.837049484252929688e+00
3.031054609999999911e+02,1.040928721427917480e+00
3.031104550000000017e+02,-1.016760826110839844e+00
3.031154490000000123e+02,-6.786365509033203125e-01
3.031204449999999611e+02,-1.606883108615875244e-01
3.031254559999999856e+02,-3.280677795410156250e-01
3.031304329999999823e+02,1.222263216972351074e+00
3.031354269999999929e+02,5.000262856483459473e-01
3.031404220000000009e+02,-1.733972072601318359e+00
3.031454160000000115e+02,9.264315962791442871e-01
3.031504099999999653e+02,1.721359848976135254e+00
3.031554039999999759e+02,-1.732993841171264648e+00
3.031603989999999840e+02,-7.633627057075500488e-01
3.031653929999999946e+02,2.128402948379516602e+00
3.031703880000000026e+02,-3.558438122272491455e-01
3.031753820000000132e+02,-1.078554391860961914e+00
3.031803769999999645e+02,4.688735604286193848e-01
3.031853709999999751e+02,-2.298730462789535522e-01
3.031903679999999781e+02,-5.651743710041046143e-02
3.031953599999999938e+02,8.136549592018127441e-01
3.032003540000000044e+02,-4.612968564033508301e-01
3.032053490000000124e+02,-2.397552490234375000e+00
3.032103429999999662e+02,8.808898925781250000e-01
3.032153490000000033e+02,3.329517602920532227e+00
3.032203309999999874e+02,-2.080143690109252930e+00
3.032253259999999955e+02,-3.643222808837890625e+00
3.032303210000000036e+02,1.570989608764648438e+00
3.032353150000000142e+02,2.221497058868408203e+00
3.032403109999999629e+02,-3.755713105201721191e-01
3.032453039999999760e+02,-2.537008047103881836e+00
3.032502979999999866e+02,-5.204459428787231445e-01
3.032552929999999947e+02,2.046062469482421875e+00
3.032602880000000027e+02,1.102901339530944824e+00
3.032652809999999590e+02,-9.190102219581604004e-01
3.032702759999999671e+02,-2.289024829864501953e+00
3.032752699999999777e+02,1.503965854644775391e+00
3.032802649999999858e+02,2.243077754974365234e+00
3.032852589999999964e+02,-2.519805669784545898e+00
3.032902530000000070e+02,-9.014228582382202148e-01
3.032952479999999582e+02,2.267572641372680664e+00
3.033002419999999688e+02,3.745215386152267456e-02
3.033052439999999592e+02,-2.001121997833251953e+00
3.033102309999999875e+02,-9.456511139869689941e-01
3.033152259999999956e+02,1.095584273338317871e+00
3.033202200000000062e+02,9.998863339424133301e-01
3.033252139999999599e+02,-1.881023764610290527e+00
3.033302109999999630e+02,-2.105508089065551758e+00
3.033352029999999786e+02,5.905278325080871582e-01
3.033401969999999892e+02,1.613314867019653320e+00
3.033451919999999973e+02,-4.622617959976196289e-01
3.033501870000000054e+02,-1.251063704490661621e+00
3.033551820000000134e+02,4.657254517078399658e-01
3.033601749999999697e+02,-8.045191168785095215e-01
3.033651800000000094e+02,-5.953484773635864258e-02
3.033701639999999884e+02,-8.180372118949890137e-01
3.033751579999999990e+02,-1.041298031806945801e+00
3.033801530000000071e+02,-3.656541109085083008e-01
3.033851469999999608e+02,1.566666841506958008e+00
3.033901940000000081e+02,-7.929666638374328613e-01
3.033951349999999820e+02,-2.538680076599121094e+00
3.034001309999999876e+02,-8.638955354690551758e-01
3.034051269999999931e+02,3.740901947021484375e+00
3.034101190000000088e+02,-2.530619204044342041e-01
3.034151139999999600e+02,-1.297098636627197266e+00
3.034201099999999656e+02,-3.491784930229187012e-01
3.034251019999999812e+02,-1.783764809370040894e-01
3.034300959999999918e+02,-1.732810437679290771e-01
3.034350909999999999e+02,4.530249163508415222e-02
3.034400850000000105e+02,-1.053661465644836426e+00
3.034450789999999643e+02,5.749524831771850586e-01
3.034500739999999723e+02,2.028551697731018066e-01
3.034550679999999829e+02,-2.417681455612182617e+00
3.034600649999999860e+02,-1.533313870429992676e+00
3.034650570000000016e+02,2.125842094421386719e+00
3.034700520000000097e+02,1.839259505271911621e+00
3.034750459999999634e+02,-3.264847040176391602e+00
3.034800979999999981e+02,-2.251878499984741211e+00
3.034850349999999821e+02,1.751236319541931152e+00
3.034900299999999902e+02,-4.793863892555236816e-01
3.034950240000000008e+02,-5.795008540153503418e-01
3.035000180000000114e+02,8.921317458152770996e-01
3.035050129999999626e+02,-3.831327706575393677e-02
3.035100069999999732e+02,-1.919791340827941895e+00
3.035150039999999763e+02,-1.060879468917846680e+00
3.035199969999999894e+02,1.360214591026306152e+00
3.035249900000000025e+02,5.386206507682800293e-01
3.035299840000000131e+02,-1.151841998100280762e+00
3.035349789999999643e+02,-2.624892234802246094e+00
3.035399729999999749e+02,-7.053005695343017578e-01
3.035449669999999855e+02,2.162696838378906250e+00
3.035499619999999936e+02,6.040945649147033691e-01
3.035549560000000042e+02,-3.110941410064697266e+00
3.035599510000000123e+02,2.330072820186614990e-01
3.035649449999999661e+02,9.145063161849975586e-01
3.035699389999999767e+02,-8.920444250106811523e-01
3.035749339999999847e+02,-1.195944309234619141e+00
3.035799279999999953e+02,1.015165805816650391e+00
3.035849249999999984e+02,-3.605317175388336182e-01
3.035899170000000140e+02,-2.397456407546997070e+00
3.035949109999999678e+02,-1.805741667747497559e+00
3.035999059999999758e+02,1.016501903533935547e+00
3.036048999999999864e+02,-4.628027081489562988e-01
3.036098939999999970e+02,4.076511263847351074e-01
3.036149159999999938e+02,-1.432743906974792480e+00
3.036198829999999589e+02,-1.485652089118957520e+00
3.036248779999999670e+02,-4.434603154659271240e-01
3.036298719999999776e+02,1.754153817892074585e-01
3.036348659999999882e+02,-1.417563319206237793e+00
3.036398609999999962e+02,1.232601642608642578e+00
3.036448550000000068e+02,-7.394648790359497070e-01
3.036498499999999581e+02,-1.995330929756164551e+00
3.036548439999999687e+02,-1.070441484451293945e+00
3.036598379999999793e+02,2.391875267028808594e+00
3.036648329999999874e+02,1.258985102176666260e-01
3.036698269999999980e+02,-2.940014123916625977e+00
3.036748220000000060e+02,-1.066161274909973145e+00
3.036798170000000141e+02,1.458163380622863770e+00
3.036848099999999704e+02,-3.404929637908935547e-01
3.036898049999999785e+02,-1.320214629173278809e+00
3.036947989999999891e+02,-1.725685954093933105e+00
3.036997939999999971e+02,5.094025731086730957e-01
3.037048029999999699e+02,2.101823091506958008e+00
3.037097829999999590e+02,-1.937323093414306641e+00
3.037147769999999696e+02,-3.972292661666870117e+00
3.037197719999999777e+02,1.163620114326477051e+00
3.037247659999999883e+02,3.468634128570556641e+00
3.037297599999999989e+02,-1.861936688423156738e+00
3.037347540000000095e+02,-4.799135208129882812e+00
3.037397489999999607e+02,1.944468021392822266e+00
3.037447429999999713e+02,1.481722235679626465e+00
3.037497379999999794e+02,-2.324136495590209961e+00
3.037547359999999799e+02,-1.359185099601745605e+00
3.037597309999999879e+02,-5.208045244216918945e-01
3.037647210000000086e+02,-3.883996307849884033e-01
3.037697159999999599e+02,1.055690407752990723e+00
3.037747099999999705e+02,-1.769795298576354980e+00
3.037797039999999811e+02,-1.935281991958618164e+00
3.037846979999999917e+02,1.485815286636352539e+00
3.037896929999999998e+02,9.495362639427185059e-01
3.037946999999999775e+02,-2.261120080947875977e+00
3.037996819999999616e+02,-1.853275656700134277e+00
3.038046759999999722e+02,1.682227134704589844e+00
3.038096729999999752e+02,3.619796335697174072e-01
3.038146649999999909e+02,-2.023048162460327148e+00
